,g_loss_curve,d_loss_curve
0,0.6631637,1.3729925
1,0.65949535,1.3719164
2,0.6689501,1.3693278
3,0.6772545,1.3704374
4,0.6787182,1.375581
5,0.6821256,1.3778983
6,0.6781826,1.3822347
7,0.68054897,1.3848855
8,0.68167126,1.3890222
9,0.68092024,1.3927013
10,0.68150425,1.3976736
11,0.6886859,1.3984143
12,0.68584836,1.4014314
13,0.69494104,1.4023018
14,0.7140412,1.3986288
15,0.71192724,1.3975815
16,0.7060216,1.3978996
17,0.7019342,1.3963261
18,0.69767016,1.3965588
19,0.69380444,1.39678
20,0.6928604,1.396725
21,0.69029343,1.3967358
22,0.69182974,1.3961287
23,0.69081813,1.395353
24,0.6897411,1.394002
25,0.6892799,1.3928235
26,0.68741834,1.3919351
27,0.68855006,1.3903892
28,0.6864342,1.3896203
29,0.6818833,1.3902947
30,0.6862621,1.3878525
31,0.6870503,1.3855038
32,0.67512333,1.3811256
33,0.67429686,1.3723972
34,0.69548243,1.3717724
35,0.6991432,1.3704644
36,0.6997965,1.3713328
37,0.6868182,1.3632044
38,0.6814391,1.3609653
39,0.6839204,1.361297
40,0.68441004,1.3622268
41,0.6896153,1.364469
42,0.68928546,1.3635764
43,0.68879575,1.3655243
44,0.69117355,1.367966
45,0.691484,1.3698384
46,0.6884365,1.3745825
47,0.69435555,1.3741904
48,0.6874942,1.3772975
49,0.6812462,1.3794432
50,0.6868557,1.3815523
51,0.68358296,1.3861995
52,0.6858129,1.3876886
53,0.6811199,1.3907274
54,0.6826664,1.3917732
55,0.6819839,1.3922141
56,0.6826076,1.3943614
57,0.6805928,1.3977394
58,0.6842901,1.3961325
59,0.68097436,1.3958253
60,0.688323,1.394957
61,0.69206846,1.3916501
62,0.69685304,1.385099
63,0.701627,1.3846529
64,0.70268774,1.3823016
65,0.70207226,1.3821938
66,0.7020955,1.3798362
67,0.70132416,1.3787314
68,0.6996125,1.3789604
69,0.6943092,1.3781971
70,0.69631135,1.3778362
71,0.6959638,1.3782887
72,0.6946923,1.3777615
73,0.69512933,1.3792675
74,0.69372904,1.3777937
75,0.69077307,1.3790272
76,0.6900634,1.3787785
77,0.6883685,1.380427
78,0.6908483,1.3799651
79,0.69022244,1.381209
80,0.6927739,1.3815466
81,0.69394565,1.3824065
82,0.69542855,1.3816302
83,0.6951543,1.3822075
84,0.6923686,1.3833889
85,0.6938791,1.3836502
86,0.69604075,1.3848499
87,0.69123214,1.3858986
88,0.69251925,1.387679
89,0.69348234,1.3874545
90,0.69261587,1.3882653
91,0.69043845,1.3871906
92,0.6919438,1.3883038
93,0.69197935,1.386822
94,0.692612,1.3871236
95,0.6930476,1.3866267
96,0.69451565,1.3840828
97,0.6926116,1.3833665
98,0.6951866,1.382396
99,0.6959499,1.3808635
100,0.69530994,1.3802898
101,0.6955554,1.3801098
102,0.6984006,1.3787441
103,0.6973366,1.3777301
104,0.6963298,1.3774347
105,0.69959736,1.3759718
106,0.7040762,1.3776423
107,0.6972596,1.3783966
108,0.70168805,1.3771521
109,0.6995803,1.3785645
110,0.6999975,1.3794165
111,0.69594866,1.3799213
112,0.70057577,1.379717
113,0.7002794,1.3799545
114,0.7024741,1.3797156
115,0.6981011,1.3817524
116,0.69950426,1.3822517
117,0.6960255,1.3812531
118,0.69693184,1.3829174
119,0.6964843,1.383537
120,0.6971629,1.3843074
121,0.6955042,1.3839605
122,0.6955952,1.3849988
123,0.69762343,1.386782
124,0.6971239,1.3861085
125,0.69874096,1.386959
126,0.690621,1.3872112
127,0.6889287,1.3868885
128,0.6861061,1.3862561
129,0.6865524,1.3862836
130,0.69017845,1.3843298
131,0.68997496,1.3848312
132,0.6899485,1.3835936
133,0.6931968,1.3828204
134,0.69293374,1.3816112
135,0.6943438,1.3814622
136,0.69188154,1.3811768
137,0.69330406,1.3801854
138,0.6956984,1.3800881
139,0.6913623,1.3800644
140,0.69478637,1.3797518
141,0.6962722,1.3803244
142,0.69871426,1.3785031
143,0.69946575,1.380039
144,0.6960618,1.3802434
145,0.698901,1.3790873
146,0.7009468,1.3798006
147,0.69837314,1.3806496
148,0.69589806,1.3814379
149,0.7013018,1.3809326
150,0.69437414,1.3815957
151,0.6971683,1.3823886
152,0.6977032,1.3829345
153,0.69436014,1.3844885
154,0.6942651,1.3854473
155,0.69537055,1.3844568
156,0.69347286,1.3869256
157,0.69119465,1.3857738
158,0.6931287,1.3870083
159,0.69219434,1.3872148
160,0.6926713,1.3869915
161,0.6935136,1.3859074
162,0.68984133,1.3854009
163,0.69354045,1.384825
164,0.69368225,1.3839456
165,0.69272316,1.3818871
166,0.69523835,1.3825831
167,0.6896322,1.3821894
168,0.69732285,1.3801672
169,0.6928774,1.380401
170,0.69806165,1.3797843
171,0.6930493,1.3803469
172,0.69556516,1.3810089
173,0.69605345,1.3809801
174,0.6992071,1.381327
175,0.6961004,1.3820019
176,0.6999489,1.3815079
177,0.6996239,1.3822979
178,0.69974065,1.3819978
179,0.6951498,1.3814417
180,0.69608843,1.3819982
181,0.6952925,1.3840306
182,0.6916644,1.3849725
183,0.6986073,1.384332
184,0.69315994,1.3850262
185,0.69242543,1.3855375
186,0.69373447,1.3856025
187,0.69171274,1.3846841
188,0.69359505,1.3853191
189,0.6918448,1.3849735
190,0.6939846,1.3847345
191,0.693857,1.3850749
192,0.69320023,1.3834895
193,0.6955077,1.3836874
194,0.6940972,1.3828245
195,0.694877,1.3818249
196,0.6946945,1.3828931
197,0.6925518,1.38247
198,0.6963314,1.3823063
199,0.694335,1.3822542
